field_name,operator,status,discovery_wellbore,completion_date,situated_in,supply_base,field_id,wellbore_id
SNORRE,Equinor Energy AS,Producing, 34/4-1,1979-12-16,North Sea,Florø,43718,422
SNØHVIT,Equinor Energy AS,Producing, 7121/4-1,1984-10-27,Barents Sea,Hammerfest,2053062,135
SOLVEIG,Lundin Energy Norway AS,Approved for production, 16/4-6 S,2013-03-05,North Sea,Tananger,34833011,7098
STATFJORD,Equinor Energy AS,Producing, 33/12-1,1974-04-18,North Sea,Mongstad,43658,417
STATFJORD NORD,Equinor Energy AS,Producing, 33/9-8,1977-02-18,North Sea,Mongstad,43679,413
STATFJORD ØST,Equinor Energy AS,Producing, 33/9-7,1976-07-11,North Sea,Mongstad,43672,412
SVALIN,Equinor Energy AS,Producing, 25/11-16,1992-07-24,North Sea,Dusavik,22507971,1920
SYGNA,Equinor Energy AS,Producing, 33/9-19 S,1996-07-23,North Sea,Florø,104718,2830
TAMBAR,Aker BP ASA,Producing, 1/3-3,1983-03-24,North Sea,Tananger,1028599,87
TAMBAR ØST,Aker BP ASA,Producing, 1/3-K-5,2007-06-29,North Sea,,4999528,5485
TOMMELITEN GAMMA,ConocoPhillips Skandinavia AS,Shut down, 1/9-4,1978-12-01,North Sea,,43444,247
TOR,ConocoPhillips Skandinavia AS,Producing, 2/5-1,1970-11-22,North Sea,Tananger,43520,178
TORDIS,Equinor Energy AS,Producing, 34/7-12,1987-12-17,North Sea,Florø,43725,1187
TRESTAKK,Equinor Energy AS,Producing, 6406/3-2,1986-11-22,Norwegian Sea,Kristiansund,29396445,863
TROLL,Equinor Energy AS,Producing, 31/2-1,1979-09-11,North Sea,Mongstad,46437,398
TROLL BRENT B,Equinor Energy AS,Shut down, 31/2-N-11 H,2005-08-24,North Sea,Mongstad,29398828,5102
TRYM,DNO Norge AS,Producing, 3/7-4,1990-01-23,North Sea,,18081500,1467
TUNE,Equinor Energy AS,Producing, 30/8-1 S,1995-01-03,North Sea,Mongstad,853376,2430
TYRIHANS,Equinor Energy AS,Producing, 6407/1-2,1983-05-15,Norwegian Sea,Kristiansund,3960848,61
ULA,Aker BP ASA,Producing, 7/12-2,1976-09-23,North Sea,Tananger,43800,295
URD,Equinor Energy AS,Producing, 6608/10-6,2000-05-14,Norwegian Sea,Sandnessjøen,2834734,3260
UTGARD,Equinor Energy AS,Producing, 15/8-1,1982-07-01,North Sea,,28975098,321
VALE,Spirit Energy Norway AS,Producing, 25/4-6 S,1991-08-24,North Sea,,1578893,1703
VALEMON,Equinor Energy AS,Producing, 34/10-23,1985-10-13,North Sea,Mongstad,20460969,476
VALHALL,Aker BP ASA,Producing, 2/8-6,1975-06-30,North Sea,Tananger,43548,276
VARG,Chrysaor Norge AS,Shut down, 15/12-4,1984-10-31,North Sea,Tananger,43451,438
VEGA,Wintershall Dea Norge AS,Producing, 35/8-1,1981-01-24,North Sea,Florø,4467595,205
VESLEFRIKK,Equinor Energy AS,Producing, 30/3-2 R,1981-02-16,North Sea,Mongstad,43618,508
VEST EKOFISK,ConocoPhillips Skandinavia AS,Shut down, 2/4-6,1970-10-12,North Sea,,43513,181
VIGDIS,Equinor Energy AS,Producing, 34/7-8,1986-11-04,North Sea,Florø,43732,878
VILJE,Aker BP ASA,Producing, 25/4-9 S,2003-09-29,North Sea,,3392471,4278
VISUND,Equinor Energy AS,Producing, 34/8-1,1986-08-03,North Sea,Florø,43745,854
